Nosaukums,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
Perfectly Central Apartment 5 min to Old Town & Art Noveau.,2022,9,9.7,1,2,130,60,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rūnēnu tējas namiņš,2019,9.6,9.4,1,3,80,56,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Rūnēnu zāļu namiņš,2022,9.5,9.4,1,3,82,66,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Hotel Sigulda,2010,8.6,9.5,0,2,62,18,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
Liva Hotel,2007,8.3,9.4,0,2,46,16,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,2017,9.4,9.1,0,1,71,22,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Rojas Pērle,2019,8,9,0,3,70,18,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,2007,8,9.5,0,2,62,17,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Jēkaba sēta,2014,8.8,9.6,0,2,52,17,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,2013,9,9.4,0,2,229,29,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Restart,2016,8.9,8.7,0,2,54,23,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
Lielupe Hotel SPA & Conferences by Semarah,2010,8.8,9.2,0,2,89,15,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Hotel Kārklu Muiža,2020,8.8,8.6,0,2,48,21,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Jaunmoku Palace Complex Hotel,2010,8.6,9.2,0,2,55,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Kapteinu Osta,2010,8.5,9.3,1,3,78,49,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
Ķērpji,2013,9.1,9,1,3,50,45,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Marbella,2012,8.2,9,0,2,27,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Usma SPA Hotel & Camping,2013,8.9,9.4,2,3,75,18,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Biplan Hotel,2014,8.6,8.7,0,2,63,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Rožmalas,2015,9.1,9,0,3,60,18,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Daina Jurmala Beach Hotel,2008,7.9,8.7,0,2,68,18,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Biplan City,2016,8.8,9.3,0,2,68,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,2007,8.6,9.4,0,2,80,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Odzienas Krogusmāja,2013,9.3,9.3,0,2,50,15,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Baltvilla,2007,9,9.2,0,2,123,22,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Baltic Beach Hotel & SPA,2012,8.7,9.6,0,2,145,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Demians,2010,8.2,9.4,0,2,65,18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Amrita Hotel,2009,8.9,9.2,0,2,49,15,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Private Farm Jakuzzi Sauna in the forest,2010,9,8.9,0,2,75,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Reinis,2009,8.9,9.3,0,2,55,18,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Karlamuiza Country Hotel,2010,9.1,9.4,0,2,72,26,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Monika Centrum Hotels,2010,8.6,9.2,0,2,82,20,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Kalna Ligzda,2012,8.9,9.4,0,2,52,15,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
VILARHOTEL,2021,8.1,8.3,0,2,96,16,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Art Hotel Roma,2019,9.4,9.7,0,2,98,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Divas Upes,2011,9.6,9.6,0,2,59,15,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
S+W39+3+39:68,2012,8.7,9.6,0,2,50,15,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Port Hotel,2012,8.2,8.7,0,2,87,17,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Spa Hotel Ezeri,2007,8.3,8.8,0,2,80,15,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
Wolmar,2007,9.1,9.4,0,2,55,20,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hanza Hotel,2007,8.1,8.4,0,2,50,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Bellevue Park Hotel Riga with FREE Parking,2007,8.6,8.7,0,2,62,18,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Hotel Gulbene,2010,8.1,9,0,2,40,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wellton Riverside SPA Hotel,2018,8.7,9.4,0,2,78,21,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
Sventes Rasa,2018,9,9.4,1,2,80,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Svilpaunieki,2018,9.4,9.4,0,2,60,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hotel Pils with Self-Check in,2009,8.8,9.6,0,2,47,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SportHotel,2012,7.8,8,0,2,23,18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
Schwanenburg rest,2020,9.4,9.4,1,2,49,30,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
''Ābeļdārza māja'',2022,9.5,9,1,2,141,45,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
"Radisson Blu Latvija Conference & Spa Hotel, Riga",2009,8.7,9.6,0,2,86,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Elen White Apartment,2019,9.3,9.5,1,2,58,41,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Rija Bauska Hotel,2007,8.1,8.9,0,2,53,15,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Aparjods,2010,8.8,8.9,0,2,63,26,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Viesu nams Krauklīši,2020,8.1,9.3,7,14,400,320,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
