Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
2022,9,9.7,1,2,130,60,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,9.6,9.4,1,3,80,56,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
2022,9.5,9.4,1,3,82,66,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
2010,8.6,9.5,0,2,62,18,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2007,8.3,9.4,0,2,46,16,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2017,9.4,9.1,0,1,71,22,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2019,8,9,0,3,70,18,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8,9.5,0,2,62,17,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2014,8.8,9.6,0,2,52,17,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2013,9,9.4,0,2,229,29,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2016,8.9,8.7,0,2,54,23,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
2010,8.8,9.2,0,2,89,15,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2020,8.8,8.6,0,2,48,21,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
2010,8.6,9.2,0,2,55,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2010,8.5,9.3,1,3,78,49,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2013,9.1,9,1,3,50,45,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
2012,8.2,9,0,2,27,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2013,8.9,9.4,2,3,75,18,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2014,8.6,8.7,0,2,63,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2015,9.1,9,0,3,60,18,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2008,7.9,8.7,0,2,68,18,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
2016,8.8,9.3,0,2,68,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2007,8.6,9.4,0,2,80,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2013,9.3,9.3,0,2,50,15,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2007,9,9.2,0,2,123,22,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2012,8.7,9.6,0,2,145,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2010,8.2,9.4,0,2,65,18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2009,8.9,9.2,0,2,49,15,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2010,9,8.9,0,2,75,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2009,8.9,9.3,0,2,55,18,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2010,9.1,9.4,0,2,72,26,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
