Numurs,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
1,2022,9,9.7,1,2,130,60,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2019,9.6,9.4,1,2,80,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
3,2019,9.6,9.4,1,3,95,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
4,2019,9.6,9.4,1,4,110,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
5,2022,9.5,9.4,1,3,82,66,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
6,2010,8.6,9.5,0,2,70,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
7,2010,8.6,9.5,0,2,80,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
8,2010,8.6,9.5,0,2,85,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
9,2010,8.6,9.5,0,2,94,24,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
10,2010,8.6,9.5,0,2,95,24,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
11,2010,8.6,9.5,0,2,107,30,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
12,2010,8.6,9.5,0,2,115,45,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
13,2010,8.6,9.5,0,2,150,45,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
14,2007,8.3,9.4,0,2,46,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
15,2007,8.3,9.4,0,2,58,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
