Numurs,stils,dizains,Jauns,Apkārtne,Mēbeles,Santehnika,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,baseins,restorāns,apkalpošana numura,brokastis,bārs
1,0,0,0,0,0,0,2022,9,9.7,1,2,130,60,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,5,5,8,7,5,5,2019,9.6,9.4,1,2,80,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
3,5,5,8,7,5,5,2019,9.6,9.4,1,3,95,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
4,5,5,8,7,5,5,2019,9.6,9.4,1,4,110,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
5,5,5,8,7,5,5,2022,9.5,9.4,1,3,82,66,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
6,8,8,8,7,5,7,2010,8.6,9.5,0,2,70,18,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
7,8,8,8,7,5,7,2010,8.6,9.5,0,2,80,18,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
8,8,8,8,7,5,7,2010,8.6,9.5,0,2,85,18,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
9,8,8,8,7,5,7,2010,8.6,9.5,0,2,94,24,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
10,8,8,8,7,5,7,2010,8.6,9.5,0,2,95,24,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
11,8,8,8,7,5,7,2010,8.6,9.5,0,2,107,30,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
12,8,8,8,7,5,7,2010,8.6,9.5,0,2,115,45,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
13,8,8,8,7,5,7,2010,8.6,9.5,0,2,150,45,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
14,7,7,7,7,5,8,2007,8.3,9.4,0,2,46,16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
15,7,7,7,7,5,8,2007,8.3,9.4,0,2,58,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
16,7,7,7,7,5,8,2007,8.3,9.4,0,2,52,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
17,7,7,7,7,5,8,2007,8.3,9.4,0,2,86,25,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
18,7,7,7,7,5,8,2007,8.3,9.4,0,2,63,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
19,9,9,9,10,7,9,2017,9.4,9.1,0,1,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
20,9,9,9,10,7,9,2017,9.4,9.1,0,3,81,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
21,9,9,9,10,7,9,2017,9.4,9.1,0,3,91,34,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
22,9,9,9,10,7,9,2017,9.4,9.1,0,4,102,34,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
23,9,9,9,10,7,9,2017,9.4,9.1,0,4,93,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
24,9,9,9,9,8,7,2019,8,9,0,3,70,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
25,9,9,9,9,8,7,2019,8,9,0,4,77,30,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
26,9,9,7,8,5,7,2007,8,9.5,0,2,62,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
27,9,9,7,8,5,7,2007,8,9.5,0,2,86,29,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
28,9,9,7,8,5,7,2007,8,9.5,0,2,143,52,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
29,9,9,7,8,5,7,2007,8,9.5,0,3,162,52,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
30,9,9,7,8,5,7,2007,8,9.5,0,2,238,111,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
31,9,9,8,9,5,7,2014,8.8,9.6,0,2,52,17,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
32,9,9,8,9,5,7,2014,8.8,9.6,0,2,70,17,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
33,9,9,8,9,5,7,2014,8.8,9.6,0,2,57,25,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
34,9,9,8,9,5,7,2014,8.8,9.6,0,2,81,25,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
35,9,9,8,9,5,7,2014,8.8,9.6,1,4,84,60,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
36,9,9,8,9,5,7,2014,8.8,9.6,1,4,132,60,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
37,10,10,9,10,10,10,2013,9,9.4,0,2,229,29,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
38,10,10,9,10,10,10,2013,9,9.4,0,2,241,30,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
39,10,10,9,10,10,10,2013,9,9.4,0,2,259,35,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
40,10,10,9,10,10,10,2013,9,9.4,0,4,403,55,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
41,8,8,8,10,8,8,2016,8.9,8.7,0,2,54,23,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
42,8,8,8,10,8,8,2016,8.9,8.7,0,2,72,23,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
43,8,8,8,10,8,8,2016,8.9,8.7,0,2,56,29,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
44,8,8,8,10,8,8,2016,8.9,8.7,0,2,72,29,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
45,8,8,8,10,8,8,2016,8.9,8.7,0,2,75,40,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
46,8,8,8,10,8,8,2016,8.9,8.7,0,2,91,40,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
47,10,10,10,10,8,9,2010,8.8,9.2,0,2,104,15,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
48,10,10,10,10,8,9,2010,8.8,9.2,0,2,116,15,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
49,10,10,10,10,8,9,2010,8.8,9.2,0,2,127,25,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
50,10,10,10,10,8,9,2010,8.8,9.2,0,2,141,25,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
51,10,10,10,10,8,9,2010,8.8,9.2,0,2,167,25,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
52,10,10,10,10,8,9,2010,8.8,9.2,0,2,176,36,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
